text,embedding,filename,type,chunk_id
指导方针草案 航程规划\
  1 目标\
\
  1.1 制定航行或航行计划， 以及对船舶进度的密切和持续监控 和职位，在执行此类计划期间是必不可少的 对海上生命安全、航行安全和效率的重要性 以及保护海洋环境。\
\
  1\,2 航程和航道规划的需要适用 到所有船只。有几个因素可能会阻碍保险箱 所有船只的航行和可能阻碍 大型船舶或运载危险货物的船只的航行。 在准备过程中需要考虑这些因素 的计划以及后续监控执行 计划。\
\
  1.3 航程和航道规划包括评估、 即收集与预期航程相关的所有信息 或通道;整个航程或航程的详细规划 berth to berth，包括那些需要 一名飞行员;执行计划;以及对进展的监控 在实施计划中的船舶。这些组件 的航程/航道规划分析如下。\
\
  2 鉴定\
\
  2.1 与预期相关的所有信息 应考虑航行或航行。以下项目应 在航程和航道规划中考虑：\
  1.00820931e-02  4.28283289e-02  4.76666614e-02  1.58818215e-02\
 -1.22422790e-02 -3.80843319e-02 -2.65185547e-04  3.62957530e-02\
  1.13593653e-01  1.80130396e-02  3.91228274e-02  9.44560207e-03\
  3.73501703e-02 -3.41018178e-02 -2.47476669e-03 -1.07078934e-02\
  6.71015978e-02 -1.76509991e-02  1.49964234e-02  5.03784453e-04\
 -7.27305263e-02  3.23606133e-02  3.32055837e-02  3.26846652e-02\
 -3.02599370e-02  6.31620511e-02  4.53509279e-02  6.05480857e-02],guidelines for voyage planning.txt,TXT,0
.5 现有船舶的航线和报告系统， 船舶交通服务、海洋环境保护措施;\
\
.6 可能遇到的流量 在整个航行或航程中;\
\
.7 如果要使用飞行员，则有关的信息 到引航以及包括交换在内的登船和下船 船长和飞行员之间的信息;\
\
.8 可用端口信息，包括信息 与岸基应急响应安排的可用性有关 和设备;和\
\
.9 与该类型相关的任何其他项目 船舶或其货物，船舶将穿越的特定区域， 以及要进行的航行或航行的类型。\
\
  2.2 元根据以上信息，一个 应对预期的航程或航道进行全面评估。 该评估应清楚地表明所有危险区域; 可以安全导航的区域，包括 任何现有的路线规划或报告系统以及船舶航行服务; 以及任何考虑海洋环境保护的地区 应用。\
\
  3 规划\
\
  3.1 在尽可能全面的评估的基础上， 应准备详细的航程或航行计划，其中应 涵盖从泊位到泊位的整个航程或航程，包括 将使用 Pilot 服务的那些区域。\
\
  3.2 详细的航程或航程计划应 包括以下因素：\
\
.1 绘制预定路线或航迹 在适当比例尺的海图上航行或航道：真实方向 应标明规划的路线或轨迹，以及所有 危险区域， 现有船舶的航线和报告系统， 船舶 交通服务，以及海洋环境保护的任何区域 注意事项适用;\
\
.2 保证生命安全的主要要素 在海上，航行的安全和效率，以及保护 计划航行或航行期间的海洋环境;这样的元素 应包括但不限于：\
\
.1 安全速度，考虑到距离 沿预定路线或轨道的航行危险、纵 船舶的特性及其吃水与可用 水深;\
\
.2 途中必要的速度改变，例如， 由于夜间通行、潮汐限制而可能受到限制的地方， 或允许由于深蹲和脚跟效应而增加的吃水 转弯时;\
\
.3 龙骨下所需的最小间隙 水深受限的关键区域;\
\
.4 机械状态发生变化的位置 是必需的;\
\
.5 课程更改点，考虑到 船舶以计划的速度和任何预期的转弯半径 潮汐流和潮汐流的影响;\
\
.6 位置固定的方法和频率， 包括主要选项和次要选项，以及区域指示 位置定位精度至关重要且可靠性最高 必须获得;\
\
.7 使用船舶的航线和报告系统 以及船舶交通服务;\
\
.8 与保护 海洋环境;和\
\
.9 替代行动的应急计划 将容器放入深水中或前往避难港或保险箱 锚地，以防发生任何需要放弃的紧急情况 考虑到现有的岸基应急响应 安排和设备以及货物的性质以及 紧急情况本身。,[-1.27099156e-02  6.68587387e-02  2.04216912e-02 -1.62660051e-02\
 -5.98469228e-02 -1.13332262e-02 -6.11952245e-02  2.50714365e-02\
 -3.12100854e-02 -2.18905006e-02  1.00014023e-01 -5.09487540e-02\
  4.38657552e-02 -7.77460029e-03  1.26938168e-02  2.29264721e-02\
 -6.79820403e-02  2.84564495e-02 -4.68358025e-02  8.13674647e-03\
  3.76982358e-03 -1.06191941e-01 -3.21116075e-02 -3.54802376e-03\
 -1.15196677e-02  7.34173656e-02 -4.14646938e-02  1.28491595e-01\
  6.89105839e-02 -6.56222403e-02 -5.26229553e-02  8.95782858e-02\
 -3.78843918e-02 -1.64045226e-02  7.17469305e-02 -1.38322553e-02\
  3.84797007e-02  4.79325391e-02 -4.47212085e-02  1.63209196e-02\
 -4.15549241e-02  8.06703418e-03  3.49458642e-02 -5.47710620e-02\
  1.28514683e-02  3.65502909e-02 -1.77369062e-02 -2.72562895e-02\
 -9.76733938e-02 -8.65079537e-02  1.71774980e-02  3.47441025e-02\
  2.66349893e-02  4.16371152e-02  1.87117402e-02 -6.62575103e-03\
 -6.79997131e-02 -9.31941532e-03  3.75256911e-02  3.23663317e-02\
 -6.42902404e-02  1.01631962e-01 -4.73135859e-02 -3.13503817e-02\
 -7.18862489e-02 -8.16402212e-03 -3.46223153e-02 -3.90143096e-02\
 -2.65554506e-02 -7.69888237e-03 -1.87767763e-03 -4.15237322e-02\
  1.10753244e-02 -5.65276779e-02 -1.60536394e-02 -2.96781454e-02\
  2.71561206e-03 -1.42140063e-02 -1.11389950e-01 -1.37297079e-01\
 -9.67308059e-02  5.19440807e-02  6.35725483e-02 -5.37845306e-02\
 -5.69078252e-02  3.05251852e-02 -2.47227326e-02 -4.60630842e-02\
  7.25807622e-02  1.45402458e-02  1.49488777e-01  9.43965837e-02\
 -3.87924612e-02  2.15253551e-02  2.06032414e-02 -9.37842589e-04\
  5.29914610e-02  1.84586644e-02  2.66174581e-02 -2.21834201e-02\
  2.44283993e-02 -6.67225122e-02 -2.32777055e-02 -2.68819630e-02\
 -4.32343083e-03 -4.42389436e-02  4.28749286e-02 -3.73174436e-02\
  3.46126147e-02  5.22200600e-04 -3.45221087e-02 -6.07213825e-02\
 -7.46534392e-03 -3.16979662e-02 -6.83525279e-02 -3.36036226e-03\
 -2.85591222e-02 -8.60122293e-02  5.58668077e-02 -2.63228118e-02\
  8.14947635e-02  2.75747925e-02 -3.93219404e-02 -5.23008406e-03\
 -7.78792351e-02  1.78787466e-02  1.31156659e-02 -3.61783292e-33\
 -3.94567028e-02  6.15224196e-03 -3.15879360e-02  3.94072151e-03\
  5.61529286e-02 -9.07436982e-02 -2.47867703e-02 -1.82791539e-02\
  1.87346004e-02  6.73215985e-02 -1.51037630e-02 -3.10950689e-02\
 -8.05818215e-02  3.76207312e-03  3.09639983e-02 -9.96063650e-02\
 -2.72398852e-02 -4.68835086e-02 -2.04606056e-02 -3.45455334e-02\
 -1.87637983e-03 -2.69020144e-02  5.73250838e-02 -2.31473688e-02\
  1.98756810e-02  7.84447603e-03  4.41904031e-02 -1.97697729e-02\
 -3.75187062e-02  3.73707302e-02  3.80460806e-02 -1.39702158e-02\
 -1.88239645e-02  1.97174936e-03 -7.67752305e-02  4.48674336e-02\
  6.16078861e-02 -4.39002831e-03 -3.31790075e-02  3.44322925e-03\
 -3.32383700e-02 -4.02697287e-02  6.33191988e-02  8.50718096e-02\
  6.40423447e-02 -2.51999591e-02  1.07821478e-02  2.13556439e-02\
  2.81950794e-02 -8.03694576e-02 -7.12829605e-02  6.48599640e-02\
 -3.12848799e-02 -2.58572157e-02 -9.94926225e-03 -1.14368265e-02\
 -1.08854789e-02 -1.77086480e-02 -4.35617641e-02  3.66900302e-02\
 -5.12980856e-02  4.25397530e-02 -1.52889837e-03 -3.46170552e-03\
  6.34770766e-02  3.01234759e-02 -3.00381407e-02 -3.10057774e-02\
  7.74446921e-03 -8.66441578e-02 -8.01727623e-02 -1.28189363e-02\
  1.13293238e-01  1.58478972e-02  2.66368762e-02 -5.15928231e-02\
 -3.29364352e-02  6.46222010e-02  9.71488282e-02 -3.77503410e-02\
 -5.65037504e-02 -5.22397682e-02 -7.68672377e-02  3.64407967e-03\
 -7.88644142e-03 -6.55103400e-02  9.57332179e-02  5.89148253e-02\
 -2.85609011e-02 -4.61828075e-02 -1.04414776e-01 -5.66457547e-02\
  4.40222844e-02 -3.36361080e-02  1.67023037e-02 -3.20526967e-33\
 -2.46571954e-02  8.34786445e-02 -1.45246619e-02 -1.11972000e-02\
 -1.23600950e-02 -1.75799727e-02  3.43202725e-02  2.91999541e-02\
  1.10519929e-02 -1.72466133e-02 -8.06584209e-03  5.24697490e-02\
 -4.92399791e-03 -2.79245079e-02 -1.27001395e-02  1.03284408e-04\
 -3.53687592e-02  1.15607120e-01 -2.61349976e-02 -4.88857813e-02\
 -1.23625295e-02  6.97216077e-04 -1.60683349e-01  3.05196512e-02\
 -7.21708313e-03  6.13602549e-02 -1.17928479e-02 -7.08300024e-02\
 -3.65282502e-03  9.04470906e-02 -3.29052820e-03 -5.95138259e-02\
 -1.07786804e-02  2.34530065e-02 -6.79405406e-02 -1.03572980e-01\
  4.39324649e-03 -2.18950529e-02 -6.65966719e-02 -4.08829078e-02\
  2.94516627e-02 -4.56728749e-02  1.26016051e-01 -1.98033992e-02\
  1.64016448e-02  5.50900064e-02  4.32807170e-02 -2.82409936e-02\
 -3.01858280e-02 -2.72703506e-02  7.75768384e-02  4.75899875e-02\
 -3.12388986e-02 -1.49498414e-02  3.54095399e-02 -4.42375516e-04\
 -2.99835503e-02 -3.90360728e-02 -8.56778696e-02 -8.80562589e-02\
  2.13367939e-02  7.85917565e-02  2.58292928e-02  2.83828937e-02\
  3.41137685e-02  1.39913764e-02  2.65559778e-02 -6.85225278e-02\
  9.86172855e-02 -8.19207132e-02 -3.33971679e-02  1.79934017e-02\
  9.87862274e-02 -7.75249600e-02  1.14717369e-03  1.35730498e-03\
 -2.85975100e-03  1.02695942e-01  1.76932849e-02  5.07100932e-02\
 -2.43170317e-02 -2.41093449e-02  1.60085019e-02  1.11033514e-01\
 -4.68857735e-02 -5.07641323e-02  1.86764244e-02  7.81415030e-02\
  7.52969757e-02 -5.89373223e-02  8.40097418e-05  6.56359270e-02\
 -4.40422446e-02  3.76539901e-02  5.83563000e-02 -4.86963962e-08\
  2.55609974e-02 -1.02056995e-01 -6.11043535e-02 -4.59581614e-03\
 -2.05849037e-02 -2.18292251e-02 -2.52894331e-02 -7.39594316e-03\
 -5.85102662e-02 -2.49704178e-02  3.14977951e-02  7.69502297e-02\
 -1.10655010e-01 -1.84689667e-02 -9.62871239e-02 -9.55412984e-02\
 -1.69760976e-02  6.86069578e-02 -1.17478212e-02 -9.90140811e-02\
 -4.88951579e-02  1.06909499e-02  4.26607728e-02 -5.52527867e-02\
 -5.00448979e-02  1.83812566e-02 -1.43884733e-01 -5.28805330e-02\
 -3.44126415e-03  7.38983080e-02  6.58061504e-02 -5.10126865e-03\
  5.28911166e-02 -5.35769910e-02  1.00021504e-01 -2.69672517e-02\
 -2.98790243e-02  1.13897957e-02  4.06581350e-02 -5.70222959e-02\
  2.93186563e-03 -1.26659155e-01 -1.01951119e-02  4.01162393e-02\
  9.51328576e-02 -3.13956626e-02 -1.51187675e-02  6.19650893e-02\
  3.91092636e-02 -2.55162530e-02  2.06577983e-02  2.11970837e-05\
  6.09227903e-02 -1.64379179e-02  2.81204619e-02 -2.08732728e-02\
 -5.46198450e-02 -2.88963728e-02  1.49274105e-02 -2.78471559e-02\
 -3.14502954e-03  1.27004655e-02 -1.92166772e-02  7.84484446e-02],guidelines for voyage planning.txt,TXT,1
.6 位置固定的方法和频率， 包括主要选项和次要选项，以及区域指示 位置定位精度至关重要且可靠性最高 必须获得;\
\
.7 使用船舶的航线和报告系统 以及船舶交通服务;\
\
.8 与保护 海洋环境;和\
\
.9 替代行动的应急计划 将容器放入深水中或前往避难港或保险箱 锚地，以防发生任何需要放弃的紧急情况 考虑到现有的岸基应急响应 安排和设备以及货物的性质以及 紧急情况本身。\
\
  3.3 航程或航程计划的详细信息 应酌情在图表上清楚地标记和记录，并且 在航行计划笔记本或计算机磁盘中。\
\
  3\,4 每个航次或航程计划以及 计划的详细信息应事先得到船长的批准 到航程或航程的开始。\
\
  4 执行\
\
  4.1 完成航程或航行计划后， 出发时间和预计到达时间可 以合理的准确性确定，航程或航程应 根据计划或其所做的任何更改执行。\
\
  4.2 应考虑的因素 在执行计划或决定任何偏离计划时，包括：\
\
.1 船舶的可靠性和状况 导航设备;\
\
.2 预计到达关键点的时间 用于潮高和流量;\
\
.3 气象条件，（特别是 已知受频繁低能见度影响的区域） 以及天气路线信息;\
\
.4 白天与夜间危险的传递 点，以及这可能对位置固定精度产生的任何影响; 和\
\
.5 交通状况，尤其是导航时 重点。\
\
  4.3 主人考虑很重要 是否有任何特定情况，例如预报限制 在通过视觉手段进行位置定位的区域的能见度 点是航行或航行计划的基本特征，介绍 对通道的安全进行造成不可接受的危险;因此 该段落的该部分应否尝试根据 普遍或可能普遍的情况。master 还应 考虑一下航行或航道的哪些特定地点可能 需要使用额外的甲板或机舱人员。\
\
  5 监控\
\
  5\,1 该计划应始终可用 在舰桥上允许导航人员立即值班 访问和参考计划的详细信息。\
\
  5\,2 船舶进度按照 应密切和持续地监控航行和航行计划。 对计划所做的任何更改都应与这些保持一致 指南并明确标记和记录。,[-2.00381987e-02  2.18878817e-02  1.31652933e-02 -4.96962592e-02\
 -4.90142442e-02 -1.13412756e-02 -3.50406654e-02  4.14926261e-02\
  6.25090674e-03 -1.64849907e-02  6.94539398e-02 -7.05704838e-02\
  4.56297323e-02  1.43018058e-02 -3.31187807e-02 -2.99460646e-02\
 -1.05348215e-01  3.35443355e-02 -7.53714368e-02  2.36625448e-02\
 -3.24877314e-02 -8.60631689e-02  1.58582497e-02 -1.84927080e-02\
 -3.75994332e-02  1.77008454e-02 -2.24586669e-02  1.21454619e-01\
  6.05605990e-02 -3.30017582e-02 -3.43238600e-02  5.14447987e-02\
 -1.36408424e-02 -8.68298039e-02  7.53487870e-02  5.95938880e-03\
 -1.83054507e-02  6.76119002e-03 -3.43558043e-02  7.74285644e-02\
 -5.29689118e-02  1.81532241e-02  7.06568509e-02  7.44353840e-03\
  3.90900262e-02  6.44141063e-02 -3.04776747e-02 -3.94779369e-02\
 -8.92350450e-02 -8.21496919e-02 -3.36051323e-02  1.63640839e-03\
 -7.34342728e-03  2.64357440e-02 -4.98497300e-02 -3.56835835e-02\
 -5.36529869e-02 -1.93738770e-02  2.60700248e-02 -1.27794128e-02\
 -9.74316895e-03  8.92695934e-02  1.13554383e-02 -2.94643510e-02\
 -5.04199341e-02 -2.78131794e-02 -2.49450188e-02 -4.57329191e-02\
 -2.06520483e-02  2.84414887e-02 -1.59768257e-02 -1.83896404e-02\
  1.72011741e-02 -9.06697884e-02 -5.58669388e-04 -4.49869260e-02\
 -4.06985506e-02  3.05801984e-02 -7.99699798e-02 -1.27225280e-01\
 -5.07051088e-02  2.50414461e-02  6.48635924e-02 -4.13094871e-02\
 -8.88017416e-02  5.94218709e-02 -4.07517701e-02 -5.69777153e-02\
  7.22646341e-02  9.00753681e-03  8.88839215e-02  8.38981494e-02\
 -8.50687698e-02 -2.80155819e-02 -1.03004305e-02  1.79563984e-02\
  4.08286154e-02  1.83581337e-02  1.83234587e-02 -4.91587259e-02\
 -1.75411589e-02 -6.69431463e-02 -3.09176221e-02 -3.38305184e-03\
  2.58024759e-03 -6.07499182e-02 -1.82194021e-02  9.56290308e-03\
  8.02523345e-02  2.96823308e-03 -2.95989364e-02 -8.88919979e-02\
 -3.94799113e-02 -5.27409501e-02 -7.04354867e-02  6.18128739e-02\
 -1.57090481e-02 -9.57451537e-02  3.74248736e-02  1.94231439e-02\
  5.01442812e-02  2.42062341e-02 -1.87030416e-02 -4.20563243e-04\
 -1.07767232e-01  6.39362866e-03  2.68381350e-02 -7.74386658e-33\
 -1.34750316e-02 -8.55813920e-03 -5.40204532e-03 -5.17409071e-02\
  1.94401294e-02 -9.41945091e-02 -3.29102390e-02 -5.04527651e-02\
 -7.95916002e-03  2.02830415e-02 -8.87628831e-03  2.89325463e-03\
 -9.48314369e-02 -8.06733593e-03 -2.00490188e-03 -9.07924324e-02\
  1.14064096e-02 -4.51054871e-02 -8.70864913e-02 -5.86346202e-02\
  2.07147412e-02 -4.63563241e-02  4.80320752e-02 -4.97251190e-02\
  3.47483121e-02 -5.87399192e-02  7.09112212e-02 -3.84071358e-02\
 -8.63445997e-02  1.70456730e-02  1.90856606e-02 -2.63719056e-02\
 -6.85693622e-02 -6.46643341e-03 -5.35698794e-02  5.40983398e-03\
  4.23499197e-02  7.52320047e-03  9.70663223e-03 -2.90796021e-03\
 -5.14385700e-02 -3.45116183e-02  8.89943764e-02  7.38093704e-02\
  6.01681806e-02 -5.39079048e-02 -8.88868887e-03  4.27289447e-03\
  7.98653141e-02 -9.75446552e-02 -5.13144508e-02  8.75828788e-02\
 -2.01623794e-02 -8.34654924e-03  1.41907306e-02 -1.55540518e-02\
 -1.32166985e-02  7.89731089e-03 -8.17696676e-02  1.88879985e-02\
 -4.75675799e-02 -1.53446104e-02 -2.66579445e-02 -3.62861380e-02\
  7.85907805e-02  4.81365323e-02 -3.24889868e-02  4.26859111e-02\
  1.42251262e-02 -8.80625322e-02 -1.02667652e-01 -2.15170942e-02\
  8.07931423e-02  2.69769598e-02 -9.87485982e-03 -4.43674810e-03\
 -4.82158102e-02  2.32105870e-02  5.65541238e-02 -1.41056199e-02\
 -7.54016712e-02  4.67838859e-03 -5.88362180e-02 -1.79815963e-02\
 -6.24957383e-02 -3.45315151e-02  1.17410213e-01  7.81891569e-02\
  4.61732084e-03 -1.23161832e-02 -1.04868613e-01 -4.30621579e-02\
  4.47482429e-02 -3.30418162e-02  6.31878525e-03 -2.68605437e-33\
 -4.19266373e-02  6.07640073e-02 -6.56515285e-02 -1.38506107e-02\
  2.74406765e-02 -1.33010400e-02  3.44456285e-02  6.77092224e-02\
 -1.49078770e-02 -3.47247310e-02 -1.05418963e-02  4.22835983e-02\
 -5.14005013e-02 -6.67493278e-03 -4.97720810e-03  4.86032525e-03\
 -3.48412097e-02  9.39184800e-02 -5.03627919e-02 -5.07478788e-02\
 -5.34498272e-03 -2.76374780e-02 -1.31818220e-01  8.67383461e-03\
 -5.34009822e-02  2.43264828e-02  1.23045109e-02 -7.35377073e-02\
  1.96790900e-02  1.07172616e-01 -2.87840050e-02  9.36176348e-03\
  9.81043465e-03  7.56945610e-02 -5.11813685e-02 -1.00983746e-01\
  4.45284545e-02 -7.10644294e-03 -7.79410005e-02  1.61903836e-02\
  6.92073703e-02 -6.30830899e-02  1.30030259e-01 -5.01283966e-02\
  5.28903957e-03  6.26057982e-02  7.75096053e-03 -3.46771926e-02\
 -4.80351672e-02  1.49189383e-02  7.46331811e-02 -1.25975171e-02\
